image,how_much_text_erased,how_plausible_image_is,average
157.jpg,0.9473,0.9303,0.9388
158.jpg,0.9926,0.9418,0.9672
159.jpg,0.9999,0.9409,0.9704
16.jpg,0.987,0.9475,0.9672
160.jpg,0.9456,0.9644,0.955
161.jpg,0.9423,0.8877,0.915
162.jpg,0.9913,0.9577,0.9745
163.jpg,0.87,0.812,0.841
164.jpg,1.0,0.9617,0.9808
165.jpg,1.0,0.9127,0.9564
166.jpg,0.5562,0.8908,0.7235
167.jpg,0.9647,0.9821,0.9734
168.jpg,0.8634,0.6163,0.7398
169.jpg,0.9972,0.9669,0.982
17.jpg,0.974,0.9529,0.9634
170.jpg,0.9507,0.8531,0.9019
171.jpg,0.9055,0.9792,0.9424
173.jpg,0.9377,0.9605,0.9491
174.jpg,0.8636,0.9603,0.912
175.jpg,0.9698,0.9637,0.9668
176.jpg,0.8769,0.859,0.868
178.jpg,0.9997,0.9594,0.9796
179.jpg,0.8021,0.8603,0.8312
18.jpg,0.7288,0.9614,0.8451
180.jpg,0.9501,0.9616,0.9558
181.jpg,0.9922,0.9037,0.948
183.jpg,0.9658,0.9628,0.9643
184.jpg,0.987,0.9736,0.9803
185.jpg,0.9972,0.9668,0.982
186.jpg,0.9957,0.9818,0.9888
187.jpg,0.9763,0.9603,0.9683
188.jpg,0.9793,0.9561,0.9677
189.jpg,0.9963,0.977,0.9866
19.jpg,0.9889,0.9688,0.9788
190.jpg,0.8051,0.9621,0.8836
191.jpg,0.7615,0.9285,0.845
192.jpg,1.0,0.9294,0.9647
193.jpg,0.9968,0.9674,0.9821
194.jpg,1.0,0.911,0.9555
195.jpg,0.9375,0.9298,0.9336
197.jpg,0.8922,0.9359,0.914
198.jpg,0.9929,0.8959,0.9444
2.jpg,0.5458,0.9236,0.7347
20.jpg,0.9976,0.9636,0.9806
200.jpg,0.9919,0.9017,0.9468
201.jpg,0.998,0.7672,0.8826
202.jpg,0.8772,0.9456,0.9114
203.jpg,0.9932,0.9398,0.9665
204.jpg,0.945,0.9342,0.9396
205.jpg,0.9661,0.9446,0.9554
207.jpg,0.9904,0.9109,0.9506
208.jpg,0.6052,0.9126,0.7589
209.jpg,0.6116,0.9419,0.7768
21.jpg,0.9345,0.9491,0.9418
210.jpg,1.0,0.9477,0.9738
211.jpg,0.994,0.9609,0.9774
212.jpg,0.9688,0.9339,0.9514
213.jpg,0.9955,0.9572,0.9764
215.jpg,0.9998,0.9813,0.9906
216.jpg,0.9998,0.9559,0.9778
217.jpg,0.3005,0.9685,0.6345
218.jpg,1.0,0.9747,0.9874
219.jpg,0.9662,0.9818,0.974
22.jpg,0.9358,0.9319,0.9338
220.jpg,0.0602,0.7289,0.3946
221.jpg,0.9936,0.8403,0.917
222.jpg,1.0,0.935,0.9675
223.jpg,0.3959,0.861,0.6284
224.jpg,1.0,0.8733,0.9366
225.jpg,0.9642,0.9024,0.9333
226.jpg,0.9988,0.9226,0.9607
228.jpg,0.9371,0.9588,0.948
229.jpg,0.95,0.9262,0.9381
23.jpg,0.9892,0.9242,0.9567
230.jpg,0.9179,0.9702,0.944
232.jpg,0.9923,0.9709,0.9816
233.jpg,0.9664,0.9494,0.9579
234.jpg,0.9529,0.9721,0.9625
235.jpg,0.8937,0.9335,0.9136
236.jpg,0.9632,0.935,0.9491
238.jpg,1.0,0.9851,0.9926
239.jpg,0.9804,0.7818,0.8811
24.jpg,0.9108,0.981,0.9459
241.jpg,0.9537,0.9476,0.9506
242.jpg,0.6345,0.958,0.7962
243.jpg,0.9961,0.9353,0.9657
244.jpg,0.992,0.8738,0.9329
245.jpg,0.9905,0.9743,0.9824
247.jpg,0.9546,0.9608,0.9577
248.jpg,0.9599,0.8517,0.9058
249.jpg,1.0,0.9713,0.9856
25.jpg,0.8889,0.9304,0.9096
250.jpg,0.9722,0.8692,0.9207
251.jpg,0.6329,0.9652,0.799
252.jpg,0.8458,0.7887,0.8172
253.jpg,0.9931,0.9341,0.9636
254.jpg,0.9788,0.9796,0.9792
255.jpg,0.955,0.9261,0.9406
256.jpg,0.959,0.915,0.937
257.jpg,1.0,0.9671,0.9836
259.jpg,0.9061,0.9199,0.913
26.jpg,0.9959,0.9424,0.9692
260.jpg,0.9142,0.9759,0.945
261.jpg,0.8792,0.9602,0.9197
262.jpg,0.9633,0.9238,0.9436
263.jpg,0.7738,0.9717,0.8728
265.jpg,0.9974,0.8875,0.9424
267.jpg,0.9988,0.9839,0.9914
268.jpg,0.9945,0.8914,0.943
269.jpg,0.9913,0.9508,0.971
27.jpg,0.9825,0.9714,0.977
270.jpg,0.9561,0.958,0.957
271.jpg,0.9967,0.919,0.9578
272.jpg,0.9032,0.7461,0.8246
273.jpg,0.9875,0.9615,0.9745
274.jpg,1.0,0.9813,0.9906
275.jpg,0.361,0.9185,0.6398
276.jpg,0.8242,0.9445,0.8844
277.jpg,0.9448,0.9414,0.9431
278.jpg,0.8638,0.8338,0.8488
279.jpg,0.441,0.971,0.706
280.jpg,1.0,0.9171,0.9586
281.jpg,0.925,0.9472,0.9361
283.jpg,0.6435,0.9582,0.8009
284.jpg,0.6861,0.914,0.8
285.jpg,0.9226,0.8895,0.906
286.jpg,0.992,0.9783,0.9852
287.jpg,0.9834,0.971,0.9772
288.jpg,1.0,0.8985,0.9492
289.jpg,0.9888,0.986,0.9874
29.jpg,0.9941,0.8974,0.9458
290.jpg,0.9187,0.9754,0.947
291.jpg,0.9983,0.8743,0.9363
292.jpg,0.9903,0.8046,0.8974
293.jpg,0.6712,0.9276,0.7994
294.jpg,0.6255,0.8549,0.7402
295.jpg,0.9912,0.9214,0.9563
296.jpg,0.9731,0.7554,0.8642
297.jpg,0.0764,0.9758,0.5261
298.jpg,0.9155,0.7993,0.8574
3.jpg,0.9869,0.9628,0.9748
30.jpg,1.0,0.9706,0.9853
300.jpg,0.678,0.9772,0.8276
302.jpg,0.9946,0.9852,0.9899
303.jpg,0.9999,0.9764,0.9882
