image,how_much_text_erased,how_plausible_image_is,average
img_399.jpg,0.9993,0.9445,0.9719
img_4.jpg,0.9982,0.9762,0.9872
img_40.jpg,0.945,0.9734,0.9592
img_400.jpg,0.9204,0.9723,0.9464
img_401.jpg,0.654,0.9832,0.8186
img_402.jpg,1.0,0.9532,0.9766
img_403.jpg,0.9756,0.9451,0.9604
img_404.jpg,0.9986,0.9146,0.9566
img_405.jpg,0.8286,0.9521,0.8904
img_406.jpg,0.9611,0.983,0.972
img_407.jpg,0.9919,0.8847,0.9383
img_408.jpg,0.9651,0.9503,0.9577
img_409.jpg,0.8759,0.9406,0.9082
img_41.jpg,0.4601,0.9849,0.7225
img_410.jpg,0.7218,0.9466,0.8342
img_411.jpg,0.9993,0.9015,0.9504
img_412.jpg,0.8415,0.9393,0.8904
img_413.jpg,1.0,0.9963,0.9982
img_414.jpg,0.7957,0.9501,0.8729
img_415.jpg,0.9064,0.9354,0.9209
img_416.jpg,0.6175,0.9486,0.783
img_417.jpg,1.0,0.9688,0.9844
img_418.jpg,0.7828,0.9697,0.8762
img_419.jpg,0.9997,0.9584,0.979
img_42.jpg,0.4581,0.9726,0.7154
img_420.jpg,0.941,0.969,0.955
img_421.jpg,1.0,0.9472,0.9736
img_422.jpg,0.9611,0.9634,0.9622
img_423.jpg,1.0,0.895,0.9475
img_424.jpg,0.94,0.9538,0.9469
img_425.jpg,1.0,0.919,0.9595
img_426.jpg,0.8707,0.946,0.9084
img_427.jpg,0.94,0.9686,0.9543
img_428.jpg,1.0,0.8804,0.9402
img_429.jpg,0.9974,0.9144,0.9559
img_43.jpg,0.9567,0.9875,0.9721
img_430.jpg,0.9796,0.8473,0.9135
img_431.jpg,0.9775,0.9212,0.9494
img_432.jpg,0.9096,0.9544,0.932
img_433.jpg,0.8053,0.8807,0.843
img_434.jpg,0.9872,0.9598,0.9735
img_435.jpg,1.0,0.8448,0.9224
img_436.jpg,1.0,0.9398,0.9699
img_437.jpg,0.974,0.8783,0.9262
img_438.jpg,0.7976,0.946,0.8718
img_439.jpg,0.9645,0.9604,0.9624
img_44.jpg,0.968,0.9729,0.9704
img_440.jpg,0.8471,0.9911,0.9191
img_441.jpg,0.874,0.9732,0.9236
img_442.jpg,0.9715,0.9248,0.9482
img_443.jpg,0.9971,0.9377,0.9674
img_444.jpg,0.9887,0.8533,0.921
img_445.jpg,0.9996,0.9702,0.9849
img_446.jpg,1.0,0.875,0.9375
img_447.jpg,0.9776,0.89,0.9338
img_448.jpg,0.9946,0.8393,0.917
img_449.jpg,1.0,0.9714,0.9857
img_45.jpg,0.736,0.9842,0.8601
img_450.jpg,-0.235,0.9519,0.3584
img_451.jpg,0.4615,0.9307,0.6961
img_452.jpg,0.2132,0.9476,0.5804
img_453.jpg,0.9942,0.9602,0.9772
img_454.jpg,0.1927,0.9492,0.571
img_455.jpg,0.9776,0.9419,0.9598
img_456.jpg,0.9915,0.9074,0.9494
img_457.jpg,0.9998,0.9771,0.9884
img_458.jpg,1.0,0.9725,0.9862
img_459.jpg,1.0,0.9428,0.9714
img_46.jpg,1.0,0.969,0.9845
img_460.jpg,0.9779,0.9524,0.9652
img_461.jpg,0.9923,0.9354,0.9638
img_462.jpg,0.9657,0.9602,0.963
img_463.jpg,0.968,0.9656,0.9668
img_464.jpg,0.9431,0.978,0.9606
img_465.jpg,0.7212,0.9611,0.8412
img_466.jpg,0.8616,0.9654,0.9135
img_467.jpg,0.8578,0.8988,0.8783
img_468.jpg,0.3868,0.971,0.6789
img_469.jpg,0.9636,0.925,0.9443
img_47.jpg,0.9693,0.9774,0.9734
img_470.jpg,0.6631,0.9407,0.8019
img_471.jpg,0.9137,0.965,0.9393
img_472.jpg,0.8011,0.8522,0.8266
img_473.jpg,0.9716,0.9849,0.9782
img_474.jpg,0.9963,0.9505,0.9734
img_475.jpg,0.9529,0.9497,0.9513
img_476.jpg,0.9041,0.9411,0.9226
img_477.jpg,0.9681,0.781,0.8746
img_478.jpg,0.5202,0.9845,0.7524
img_479.jpg,1.0,0.958,0.979
img_48.jpg,0.9526,0.9795,0.966
img_480.jpg,0.8804,0.9642,0.9223
img_481.jpg,0.9571,0.9178,0.9374
img_482.jpg,-0.0237,0.9636,0.47
img_483.jpg,0.9811,0.9476,0.9644
img_484.jpg,0.9368,0.9432,0.94
img_485.jpg,0.9791,0.9695,0.9743
img_486.jpg,0.9743,0.9344,0.9544
img_487.jpg,0.8067,0.8973,0.852
img_488.jpg,0.9262,0.9463,0.9362
img_489.jpg,0.9649,0.8976,0.9312
img_49.jpg,1.0,0.9852,0.9926
img_490.jpg,0.9938,0.9702,0.982
img_491.jpg,0.9873,0.9632,0.9752
img_492.jpg,0.97,0.9802,0.9751
img_493.jpg,0.927,0.9822,0.9546
img_494.jpg,0.8371,0.9017,0.8694
img_495.jpg,0.8445,0.9829,0.9137
img_496.jpg,0.9975,0.9075,0.9525
img_497.jpg,0.8644,0.9551,0.9098
img_498.jpg,-0.0024,0.7848,0.3912
img_499.jpg,0.9997,0.7568,0.8782
img_5.jpg,0.9958,0.9854,0.9906
img_50.jpg,1.0,0.9905,0.9952
img_51.jpg,0.9607,0.9918,0.9762
img_52.jpg,0.988,0.9562,0.9721
img_53.jpg,1.0,0.9678,0.9839
img_54.jpg,0.994,0.9903,0.9922
img_55.jpg,1.0,0.9634,0.9817
img_56.jpg,0.8753,0.8606,0.868
img_57.jpg,-0.0665,0.9904,0.462
img_58.jpg,0.8167,0.9813,0.899
img_59.jpg,0.9904,0.9651,0.9777
img_6.jpg,1.0,0.9822,0.9911
img_60.jpg,1.0,0.9726,0.9863
img_61.jpg,1.0,0.9841,0.992
img_62.jpg,0.9822,0.9951,0.9886
img_63.jpg,0.7976,0.9886,0.8931
img_64.jpg,0.9944,0.9622,0.9783
img_65.jpg,0.9852,0.9742,0.9797
img_66.jpg,0.9733,0.9737,0.9735
img_67.jpg,0.9325,0.9574,0.945
img_68.jpg,0.337,0.9849,0.661
img_69.jpg,1.0,0.9701,0.985
img_7.jpg,0.9873,0.95,0.9686
img_70.jpg,0.9556,0.9491,0.9524
img_71.jpg,1.0,0.9863,0.9932
img_72.jpg,0.9996,0.98,0.9898
img_73.jpg,0.9707,0.968,0.9694
img_74.jpg,1.0,0.9776,0.9888
img_75.jpg,1.0,0.9661,0.983
img_76.jpg,1.0,0.9869,0.9934
img_77.jpg,1.0,0.96,0.98
img_78.jpg,0.9143,0.893,0.9036
img_79.jpg,1.0,0.9715,0.9858
img_8.jpg,0.9248,0.9856,0.9552
img_80.jpg,1.0,0.9904,0.9952
img_81.jpg,1.0,0.9063,0.9532
img_82.jpg,1.0,0.9775,0.9888
img_83.jpg,0.4566,0.974,0.7153
img_84.jpg,0.9981,0.9568,0.9774
img_85.jpg,0.9635,0.9863,0.9749
img_86.jpg,1.0,0.9904,0.9952
img_87.jpg,0.9794,0.9717,0.9756
img_88.jpg,0.7005,0.9624,0.8314
img_89.jpg,1.0,0.9855,0.9928
img_9.jpg,0.9386,0.9565,0.9476
img_90.jpg,0.9988,0.977,0.9879
img_91.jpg,0.9956,0.9672,0.9814
img_92.jpg,0.859,0.9583,0.9086
img_93.jpg,0.7098,0.9822,0.846
img_94.jpg,0.8834,0.9023,0.8928
img_95.jpg,1.0,0.9834,0.9917
img_96.jpg,0.9999,0.9821,0.991
img_97.jpg,0.9856,0.9819,0.9838
img_98.jpg,-0.0437,0.9853,0.4708
img_99.jpg,1.0,0.9725,0.9862
